round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr
100,5.78603547055874,5.803603813845373,3,16,ReLU(),0.05,0.01
100,22.625769529749714,22.818109810868506,3,16,ReLU(),0.05,0.001
100,5.6357888258838695,5.645248541261759,3,16,ReLU(),0.1,0.01
100,14.783819418604553,14.883886533300426,3,16,ReLU(),0.1,0.001
100,5.636156561593674,5.7294751840625695,3,16,LeakyReLU(negative_slope=0.01),0.05,0.01
100,23.661334871429613,23.96356135287551,3,16,LeakyReLU(negative_slope=0.01),0.05,0.001
100,5.623739732223852,5.642253667873097,3,16,LeakyReLU(negative_slope=0.01),0.1,0.01
100,24.84527906785923,24.956428974982497,3,16,LeakyReLU(negative_slope=0.01),0.1,0.001
100,5.678231055628347,5.614563497745074,3,32,ReLU(),0.05,0.01
100,16.827211336106107,16.95352274588841,3,32,ReLU(),0.05,0.001
100,5.700329266148386,5.662126654221208,3,32,ReLU(),0.1,0.01
100,24.771667451104136,24.952552592372367,3,32,ReLU(),0.1,0.001
100,5.828024719043702,5.879508887546997,3,32,LeakyReLU(negative_slope=0.01),0.05,0.01
100,23.357645169087466,23.45863761790986,3,32,LeakyReLU(negative_slope=0.01),0.05,0.001
100,5.864299790460985,5.86524212275339,3,32,LeakyReLU(negative_slope=0.01),0.1,0.01
100,25.779036323869832,26.017020268386677,3,32,LeakyReLU(negative_slope=0.01),0.1,0.001
100,5.950215350971341,5.833337061496776,3,64,ReLU(),0.05,0.01
100,20.47687367253259,20.69036492180556,3,64,ReLU(),0.05,0.001
100,5.98814451610312,5.977504122220019,3,64,ReLU(),0.1,0.01
100,16.55003980527042,16.64880396681088,3,64,ReLU(),0.1,0.001
100,6.4989578860702775,6.461796569632849,3,64,LeakyReLU(negative_slope=0.01),0.05,0.01
100,23.912574740944674,24.06583719161942,3,64,LeakyReLU(negative_slope=0.01),0.05,0.001
100,6.079814413970121,6.049815801355621,3,64,LeakyReLU(negative_slope=0.01),0.1,0.01
100,21.764985303982993,21.955337636528924,3,64,LeakyReLU(negative_slope=0.01),0.1,0.001
100,6.215170667851386,6.27080703342051,4,16,ReLU(),0.05,0.01
100,17.453911534706513,17.49584526689091,4,16,ReLU(),0.05,0.001
100,5.679921600789402,5.68547495922368,4,16,ReLU(),0.1,0.01
100,19.08881093899866,19.195711639747717,4,16,ReLU(),0.1,0.001
100,6.004721604396013,6.055184371159541,4,16,LeakyReLU(negative_slope=0.01),0.05,0.01
100,25.55511462770847,25.76689486279648,4,16,LeakyReLU(negative_slope=0.01),0.05,0.001
100,5.616013623911203,5.667144763885067,4,16,LeakyReLU(negative_slope=0.01),0.1,0.01
100,18.297184815792974,18.514973722306088,4,16,LeakyReLU(negative_slope=0.01),0.1,0.001
100,5.950940426908073,5.969282304865652,4,32,ReLU(),0.05,0.01
100,25.119286332265837,25.308130146808537,4,32,ReLU(),0.05,0.001
100,5.660153009286791,5.671575501764559,4,32,ReLU(),0.1,0.01
100,24.91940193842122,25.124483304794474,4,32,ReLU(),0.1,0.001
100,5.639117844980382,5.580008421141163,4,32,LeakyReLU(negative_slope=0.01),0.05,0.01
100,19.072076194920225,19.19686651027788,4,32,LeakyReLU(negative_slope=0.01),0.05,0.001
100,5.609534327549391,5.599628248392298,4,32,LeakyReLU(negative_slope=0.01),0.1,0.01
100,22.485724720418432,22.632975543853124,4,32,LeakyReLU(negative_slope=0.01),0.1,0.001
100,5.698412239303705,5.6817220773734745,4,64,ReLU(),0.05,0.01
100,20.425635726805144,20.5980453193336,4,64,ReLU(),0.05,0.001
100,5.80868419444484,5.779011801664069,4,64,ReLU(),0.1,0.01
100,24.66476182832875,24.90638767110209,4,64,ReLU(),0.1,0.001
100,6.231827880145309,6.2342176474930335,4,64,LeakyReLU(negative_slope=0.01),0.05,0.01
100,24.17221006372203,24.3872359126604,4,64,LeakyReLU(negative_slope=0.01),0.05,0.001
100,5.638151538758378,5.6619636835412805,4,64,LeakyReLU(negative_slope=0.01),0.1,0.01
100,25.192927297219455,25.385818588772985,4,64,LeakyReLU(negative_slope=0.01),0.1,0.001
