,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr,average_train_loss,average_test_loss
26,100,5.490153824356076,5.540303286623376,4,16,ReLU(),0.1,0.01,5.51761852264462,5.523771232547466
32,100,5.53811655603934,5.549583619507038,4,32,ReLU(),0.05,0.01,5.553220143750888,5.547698014136504
12,100,5.563663112173162,5.549003778781251,3,32,LeakyReLU(negative_slope=0.01),0.05,0.01,5.586119150646663,5.552049050974106
6,100,5.542845027723229,5.555158859398895,3,16,LeakyReLU(negative_slope=0.01),0.1,0.01,5.569761090652503,5.575628068697247
4,100,5.595613399571983,5.588482370104475,3,16,LeakyReLU(negative_slope=0.01),0.05,0.01,5.602642352264357,5.602308805252503
38,100,5.602450470437818,5.589992634998472,4,32,LeakyReLU(negative_slope=0.01),0.1,0.01,5.6209849804473695,5.6075122882119475
30,100,5.596688092946374,5.609656772035371,4,16,LeakyReLU(negative_slope=0.01),0.1,0.01,5.629094289687186,5.628338820961315
44,100,5.641682451783291,5.6425457964861065,4,64,LeakyReLU(negative_slope=0.01),0.05,0.01,5.669626325861582,5.640514085680597
10,100,5.618097367172034,5.650781936864374,3,32,ReLU(),0.1,0.01,5.657787018949573,5.641963293360906
42,100,5.710200823863813,5.708756238316959,4,64,ReLU(),0.1,0.01,5.728869285435427,5.690104407642464
18,100,5.774535231542127,5.690225462738739,3,64,ReLU(),0.1,0.01,5.8307532663357735,5.694520802551446
16,100,5.719146331895889,5.7290536682776905,3,64,ReLU(),0.05,0.01,5.796953242900645,5.732342246453941
24,100,5.705090427598488,5.717168331510081,4,16,ReLU(),0.05,0.01,5.729820292368979,5.733224189569873
22,100,5.811694793803428,5.7518570855893945,3,64,LeakyReLU(negative_slope=0.01),0.1,0.01,5.856440184773057,5.774455881977143
40,100,5.785730211319271,5.810696757686994,4,64,ReLU(),0.05,0.01,5.82289162204062,5.803115173631656
2,100,5.8543841805064245,5.88446382081642,3,16,ReLU(),0.1,0.01,5.873286955000135,5.851890472611468
34,100,5.8596549997697736,5.857951376575349,4,32,ReLU(),0.1,0.01,5.890469940793269,5.8631227288961165
46,100,5.902074869977588,5.88685884727903,4,64,LeakyReLU(negative_slope=0.01),0.1,0.01,5.903169994059579,5.870334817498213
20,100,5.963461814748119,5.918965020986162,3,64,LeakyReLU(negative_slope=0.01),0.05,0.01,5.97928726457344,5.911590790030832
8,100,6.01168835501192,5.985799115552767,3,32,ReLU(),0.05,0.01,6.052231792129568,5.987368277138886
